time,open,high,low,close,Shapes,Shapes,Bullish Sweep,Bearish Sweep,ATR Short Stop Loss,ATR Long Stop Loss,VWAP,Upper Band #1,Lower Band #1,ATR,Volume,Volume EMA,Spike Threshold,CVD Oscillator,Bullish Divergence,Bearish Divergence,Bullish Cross,Bearish Cross
1780869600,28843.5,28925,28821,28827.75,0,0,0,0,,,28857.916666666668,28857.916666666668,28857.916666666668,,4504,,,,0,0,0,0
1780869660,28826.75,28923.75,28826.5,28903.25,1,0,0,0,,,28871.52240046246,28884.81035608453,28858.234444840393,,4722,,,,0,0,0,0
1780869720,28903,28953.75,28894.5,28920.75,1,0,0,0,,,28889.718126605934,28916.54620355448,28862.890049657388,,5044,,,,0,0,0,0
1780869780,28920,28935,28905,28930.25,1,0,0,0,,,28895.179545899395,28922.698875163005,28867.660216635784,,2760,,,,0,0,0,0
1780869840,28929.5,28941.25,28913,28929.5,0,0,0,0,,,28898.563053932154,28926.462164855362,28870.663943008945,,1963,3798.6,,,0,0,0,0
1780869900,28928.25,28939.5,28890,28894.25,0,1,0,0,,,28899.46584530492,28926.127877908573,28872.803812701266,,2029,3208.7333333333336,5697.9,,0,0,0,0
1780869960,28895,28913.5,28880.25,28890.75,0,1,0,0,,,28898.896106243916,28923.91113426169,28873.881078226143,,2948,3121.8222222222225,4813.1,,0,0,0,0
1780870020,28889.5,28901.25,28883.25,28889,0,1,0,0,,,28898.54724534916,28923.04385161246,28874.05063908586,,1133,2458.881481481482,4682.733333333334,,0,0,0,0
1780870080,28888.75,28889.5,28872,28884,0,1,0,0,,,28897.348803096418,28921.34151332474,28873.356092868096,,1939,2285.587654320988,3688.322222222223,,0,0,0,0
1780870140,28883.75,28903.75,28880.5,28901,1,0,0,0,,,28897.21681177085,28920.50614586394,28873.92747767776,,1673,2081.391769547325,3428.381481481482,,0,0,0,0
1780870200,28899.5,28913.25,28890.75,28903.5,1,0,0,0,,,28897.41394830361,28920.286571886943,28874.541324720274,,1113,1758.5945130315502,3122.087654320988,,0,0,0,0
1780870260,28903.75,28919.5,28892.75,28909.25,1,0,0,0,,,28897.85296738597,28920.296137129448,28875.409797642493,,1406,1641.0630086877002,2637.891769547325,,0,0,0,0
1780870320,28908.75,28941,28904,28934.5,1,0,0,0,,,28899.384374305515,28922.15045564294,28876.61829296809,,1764,1682.0420057918002,2461.5945130315504,,0,0,0,0
1780870380,28933.25,28959.5,28926.25,28957.75,1,0,0,0,29021.616071428572,28864.133928571428,28902.210402279172,28927.04976661926,28877.371037939083,41.410714285714285,2044,1802.6946705278667,2523.0630086877004,,0,0,0,0
1780870440,28957.5,28997.75,28954.5,28995,1,0,0,0,29060.063137755104,28892.186862244896,28909.226179005756,28942.036431016662,28876.41592699485,41.54209183673469,3359,2321.4631136852445,2704.0420057918,,0,0,0,0
1780870500,28994.5,28996,28975.25,28978,0,1,0,0,29056.08541362974,28915.16458637026,28913.18170708664,28949.17276530261,28877.190648870666,40.05694241982507,2173,2271.9754091234963,3482.194670527867,,0,0,0,0
1780870560,28977,28987.75,28956,28972,0,1,0,0,29046.945384084756,28896.804615915244,28915.971124727093,28953.25239618596,28878.689853268228,39.463589389837566,2023,2188.983606082331,3407.9631136852445,,0,0,0,0
1780870620,28971.25,28999,28953.75,28996.25,1,0,0,0,29058.81535665013,28893.93464334987,28919.164617241997,28958.24826592372,28880.080968560273,39.87690443342059,2131,2169.6557373882206,3283.4754091234963,,0,0,0,0
1780870680,28996,29004.25,28980.5,28991.5,0,1,0,0,29062.337474032265,28922.412525967735,28922.66295247825,28963.858859767228,28881.467045189274,38.72498268817627,2254,2197.770491592147,3254.483606082331,,0,0,0,0
1780870740,28991,29011.5,28980.75,28991,0,0,0,0,29068.733011601387,28923.516988398613,28925.77213398493,28968.632295255942,28882.91197271392,38.15534106759225,2128,2174.5136610614313,3296.6557373882206,,0,0,0,0
1780870800,28990,29025,28988.5,29021,1,0,0,0,29082.05565362986,28931.44434637014,28929.494205185143,28974.908603385138,28884.079806985148,38.0371024199071,2229,2192.6757740409544,3261.7704915921468,,0,0,0,0
1780870860,29020.25,29024,29003.25,29006,0,1,0,0,29079.203464084872,28948.046535915128,28932.678417003593,28979.918576523596,28885.43825748359,36.80230938991373,2085,2156.7838493606364,3289.013661061432,,0,0,0,0
1780870920,29005,29008.5,28990.5,28996.25,0,1,0,0,29061.68893093595,28937.31106906405,28933.95145530082,28981.601042994156,28886.301867607483,35.45928729063418,1055,1789.5225662404243,3235.175774040955,,0,0,0,0
1780870980,28996.25,29008.25,28992.25,29001,1,0,0,0,29059.35400729767,28941.14599270233,28935.082592037914,28983.10224903839,28887.062935037437,34.069338198446026,942,1507.015044160283,2684.2838493606364,,0,0,0,0
1780871040,28999.75,29002.5,28982.25,28985.5,0,1,0,0,29052.123363919265,28932.626636080735,28936.294801776363,28984.46397197242,28888.125631580308,33.08224261284274,1249,1421.0100294401886,2260.5225662404246,,0,0,0,0
1780871100,28987,28995.5,28985.75,28988.25,1,0,0,0,29042.65026649646,28938.59973350354,28937.02629159052,28985.2673036577,28888.785279523338,31.43351099763969,785,1209.006686293459,2131.5150441602827,,0,0,0,0
1780871160,28987.75,28990.75,28974.5,28979.5,0,1,0,0,29036.273461746714,28928.976538253286,28937.979497027813,28986.135214719885,28889.82377933574,30.348974497808285,1256,1224.6711241956393,1813.5100294401886,,0,0,0,0
1780871220,28979.75,28983,28968.25,28972.5,0,1,0,0,29026.852143050517,28924.397856949483,28938.830225039375,28986.741527523613,28890.918922555138,29.23476203367912,1397,1282.1140827970928,1837.006686293459,,0,0,0,0
1780871280,28972.75,28993.5,28966.25,28984.25,1,0,0,0,29037.13948997548,28922.61051002452,28940.042008770797,28987.792228372527,28892.291789169067,29.092993316987755,1764,1442.7427218647285,1923.171124195639,,0,0,0,0
1780871340,28984.25,28986,28955.5,28968,0,1,0,0,29029.79024069152,28911.70975930848,28940.86555295375,28988.20380009303,28893.52730581447,29.193493794345773,1759,1548.1618145764858,2164.114082797093,,0,0,0,0
1780871400,28967,28987,28967,28973.25,1,0,0,0,29029.80522349927,28924.19477650073,28941.682036190068,28988.75937950995,28894.604692870187,28.53681566617822,1525,1540.441209717657,2322.2427218647285,,0,0,0,0
1780871460,28974.25,28975.5,28942,28965.5,0,1,0,0,29018.83699324932,28898.66300675068,28942.405760651185,28988.738289343273,28896.073231959097,28.891328832879775,2536,1872.2941398117714,2310.6618145764855,,0,0,0,0
