time,open,high,low,close,BOS Demand,CHOCH Demand,BOS Supply,CHOCH Supply,New Demand Zone,New Supply Zone,Zone Mitigated,Zone Broken,Volume Spike,Bullish Sweep,Bearish Sweep,Bullish Confirmation,Bearish Confirmation,ATR Short Stop Loss,ATR Long Stop Loss,ATR,Volume,Volume EMA,Spike Threshold,CVD Oscillator,Bullish Divergence,Bearish Divergence,Bullish Cross,Bearish Cross,CVD,Signal
1638385200,16213.75,16222.5,15826.5,15861,0,0,1,0,0,0,1,1,0,0,0,0,1,16461.823767712922,15587.176232287078,159.54917847528077,443314,361029.36467079667,479830.57050929253,-59674.671015706714,0,0,0,0,-633250.6262774603,-79354.15730950538
1638399600,15890.5,15988,15868.75,15983.75,0,0,0,0,0,0,0,0,0,0,0,1,0,16223.836355733427,15632.913644266573,157.22423715561786,96360,272806.24311386445,541544.047006195,-40508.372686630006,0,0,0,0,75350.69182389937,-64620.36215394302
1638414000,15983.25,15984.75,15932,15972.5,0,0,0,0,0,0,0,0,0,0,0,0,1,16209.392687466754,15707.357312533246,149.76179164450227,57763,201125.16207590964,409209.36467079667,-32795.38133098255,0,0,0,0,63579.08518882828,-52410.89097844099
1638428400,15972.5,15993.25,15890,15938.5,0,0,0,0,1,0,0,0,0,0,0,0,1,16212.909281219128,15670.340718780872,146.4395208127521,108871,170373.7747172731,301687.74311386445,-28543.5082299118,0,0,0,0,27728.102137980823,-44778.60591973415
1638442800,15938.25,16004,15787,15993.5,0,0,0,0,0,0,0,0,0,1,0,1,0,16231.219332560619,15559.780667439381,151.47955504041266,339398,226715.18314484874,255560.66207590967,-13375.676910762319,1,0,0,0,114141.64822093013,-29643.343620623265
1638457200,15993.25,16061.25,15763.25,16008.25,0,0,0,0,0,0,0,0,1,0,0,1,0,16304.167951663432,15520.332048336568,161.94530110895462,838406,430612.1220965658,340072.7747172731,-5074.971192419798,1,0,0,0,156343.29251623215,-11930.330655208465
1638471600,16008.75,16066.5,15948,16016.5,0,0,0,0,0,0,0,0,0,0,0,1,0,16304.763097973188,15709.736902026812,158.84206531545786,301391,387538.41473104386,645918.1831448487,-387.60610958698453,0,0,0,0,176054.51825462878,5972.988288585559
1638486000,16019,16031,15861.75,15915.25,0,0,0,0,0,0,1,0,0,0,0,0,1,16270.378233832245,15622.371766167755,159.58548922149657,82746,285940.94315402926,581307.6220965658,-3189.383763558133,0,0,0,0,-50723.17577548006,573.3536158174056
1638500400,15915.25,16017.25,15907.75,15986.75,0,0,0,0,1,0,0,0,0,0,0,1,0,16251.261931415656,15673.738068584344,156.00795427710395,55385,209088.96210268617,428911.41473104386,2722.5802169752787,0,0,1,0,-14558.541072283711,-867.7792116207961
1638514800,15987.25,16004,15912.75,15934,0,0,0,0,0,0,0,0,0,0,0,0,1,16231.07357917168,15685.67642082832,151.38238611445368,69368,162515.30806845747,313633.44315402926,313.2968858281092,0,0,0,0,-55039.04518187275,-6026.9473992638395
1638529200,15934.75,16121.75,15825,15849.25,0,0,0,0,0,0,1,0,0,0,0,0,1,16364.398680659418,15582.351319340582,161.76578710627842,290644,205224.8720456383,243772.9621026862,-5723.027262436488,0,0,0,1,-138779.77643713812,-18670.073974299485
1638543600,15844.25,15871.25,15560,15580,0,0,1,0,0,0,0,1,1,0,0,0,1,16129.914846326603,15301.335153673397,172.4432308844014,710806,373751.9146970922,307837.30806845747,-59499.27419692204,0,0,0,0,-742251.2157945678,-87582.56367146788
1638558000,15579.75,15742.25,15538,15686,0,0,0,0,0,0,0,0,0,0,0,1,0,16004.32271444613,15275.92728555387,174.715142964087,293957,347153.6097980615,560627.8720456383,-31771.761395784262,0,0,0,0,-589336.0077162324,-135368.60596144546
1638745200,15703.75,15752.75,15671.25,15739.25,0,0,0,0,0,0,0,0,0,0,0,1,0,16004.835377699977,15419.164622300023,168.0569184666522,112920,269075.73986537434,520730.41469709226,-18701.75012278653,0,0,0,0,49186.01226993865,-117791.9756536946
1638759600,15739.75,15773.75,15722.5,15745.25,0,0,0,0,0,0,0,0,0,0,0,1,0,16013.320350721408,15482.929649278592,159.7135671476056,40557,192902.82657691624,403613.60979806155,-12132.829560667175,0,0,0,0,53538.47080652401,-101474.79027653091
1638774000,15745.75,15809,15591.75,15600.75,0,0,0,0,1,0,0,0,0,0,0,0,1,16054.734968527022,15346.015031472978,163.82331235134805,113179,166328.21771794415,289354.23986537434,-14208.40317482521,0,0,0,0,-22001.022864362065,-93905.86004680055
1638788400,15600.75,15760.75,15559.25,15667.5,0,0,0,0,0,0,0,0,0,0,0,1,0,16010.521756489377,15309.478243510623,166.51450432625174,300009,210888.47847862943,249492.3265769162,654.4191419403396,0,0,1,0,77381.61113067516,-77592.76755370763
1638802800,15666.5,15882.5,15600.5,15871.25,0,0,0,0,0,0,0,0,1,0,0,1,0,16144.645202454421,15338.354797545579,174.76346830294804,563619,328465.31898575294,316332.7177179442,41916.75858964783,0,0,0,0,486604.9808115262,-23859.648661780608
1638817200,15871.5,15897,15824.25,15850,0,0,0,0,0,0,0,0,0,0,0,0,1,16148.215187993392,15573.034812006608,167.4767919955946,216376,291102.2126571686,492697.9784786294,30752.913139959957,0,0,0,0,422658.80899022036,18665.918733648054
1638831600,15849,15885,15825,15851.25,0,0,0,0,0,0,0,0,0,0,0,1,0,16124.699817422435,15585.300182577565,159.79987828162353,45132,209112.14177144575,436653.31898575294,27611.43963185604,0,0,0,0,1692.45,17049.39790187205
1638846000,15851.75,15971.25,15845,15959.5,0,0,0,0,0,0,0,0,0,0,0,1,0,16207.355187606547,15608.894812393453,157.40345840436473,46709,154977.76118096383,313668.2126571686,28448.784613043652,0,0,0,0,41556.96287128713,19383.451708483008
