time,open,high,low,close,Shapes,Shapes,Bullish Sweep,Bearish Sweep,ATR Short Stop Loss,ATR Long Stop Loss,VWAP,Upper Band #1,Lower Band #1,ATR,Volume,Volume EMA,Spike Threshold,CVD Oscillator,Bullish Divergence,Bearish Divergence,Bullish Cross,Bearish Cross
1780904100,29216.75,29231.25,29182.75,29220,1,0,0,0,29293.87858279432,29120.12141720568,29100.94521994269,29198.912973017286,29002.97746686809,41.75238852954708,6019,5830.2768761081725,8603.872971243387,683.0917848133461,0,0,0,0
1780904400,29220,29228,29207,29224.75,1,0,0,0,29288.405112594726,29146.594887405274,29101.444962214853,29199.50907738911,29003.380847040597,40.27007506315086,3079,4913.184584072115,8745.41531416226,599.7085332729752,0,0,0,0
1780904700,29224,29270.5,29215.75,29262.5,1,0,0,0,29332.456533123674,29153.793466876326,29102.416698403278,29200.88748834145,29003.945908465106,41.30435541578294,4840,4888.789722714743,7369.776876108173,782.2127390674041,0,0,0,0
1780905000,29261.75,29280.5,29252,29257.5,0,1,0,0,29341.084637900556,29191.415362099444,29103.42446729087,29202.40386730323,29004.445067278513,40.38975860036987,4650,4809.1931484764955,7333.184584072114,540.1412894573721,0,0,0,0
1780905300,29257.5,29278.25,29254.75,29256.25,0,1,0,0,29337.02502090766,29195.97497909234,29104.144354302054,29203.47796554752,29004.810743056587,39.18334727177203,3363,4327.128765650997,7213.789722714743,387.4148983648928,0,0,0,0
1780905600,29256.75,29256.75,29200.75,29225.75,0,1,0,1,29317.32680512854,29140.17319487146,29105.334441961404,29204.922842351767,29005.74604157104,40.384536752359736,7251,5301.7525104339975,6490.6931484764955,-100.59735504450146,0,0,0,1
1780905900,29226.25,29253.75,29212.25,29246,1,0,0,0,29314.44631904793,29151.55368095207,29106.446903964716,29206.346202703717,29006.547605225715,40.464212698619754,6401,5668.168340289331,7952.628765650996,166.4126485876377,0,0,1,0
1780906200,29245.5,29250,29210,29212.25,0,1,0,0,29310.646581973077,29149.353418026923,29107.142841763864,29207.15390229606,29007.131781231667,40.43105464871834,4520,5285.445560192888,8502.252510433997,-257.0968423709379,0,0,0,1
1780906500,29212,29248.5,29205.75,29239.5,1,0,0,0,29309.39504040357,29144.85495959643,29107.989659784893,29208.181193364107,29007.79812620568,40.596693602381315,5249,5273.297040128592,7928.168340289331,70.51835009246611,0,0,1,0
1780906800,29239,29241.75,29202.25,29219.25,0,1,0,0,29302.527537517602,29141.472462482398,29108.65172885264,29208.921438965997,29008.382018739285,40.518358345068364,4530,5025.531360085728,7909.945560192888,-193.59635404769443,0,0,0,1
1780907100,29219.5,29232.25,29207.5,29224.5,1,0,0,0,29291.33807055206,29148.41192944794,29109.116280184662,29209.439583084095,29008.79297728523,39.392047034706344,3201,4417.354240057152,7538.297040128592,-133.66830636262296,0,0,0,0
1780907400,29224.75,29266.75,29217,29266.25,1,0,0,0,29326.947851226912,29156.802148773088,29110.01723986906,29210.64784735334,29009.38663238478,40.131900817941606,5001,4611.902826704768,6626.031360085728,247.74662796543646,0,0,1,0
1780907700,29266.75,29267.25,29210.5,29213,0,1,0,0,29329.228361853562,29148.521638146438,29110.719130831098,29211.472793443027,29009.96546821917,41.31890790237435,4592,4605.268551136512,6917.854240057151,-244.6218806243446,0,0,0,1
1780908000,29213.25,29220,29188.25,29206.25,0,1,0,0,29280.953121721162,29127.296878278838,29111.35940068688,29212.067337782028,29010.651463591734,40.635414480776184,5388,4866.179034091007,6907.902826704767,-346.9516973178455,0,0,0,0
1780908300,29206.25,29207.5,29158.5,29197,0,1,0,0,29269.34932731251,29096.65067268749,29111.87064746346,29212.43350667797,29011.30778824895,41.232884875006455,5342,5024.786022727339,7299.268551136511,-411.08295963853675,0,0,0,0
1780908600,29197.25,29203,29159.25,29162.5,0,1,0,0,29265.11901821876,29097.13098178124,29112.212662725782,29212.609243670173,29011.81608178139,41.412678812505995,4349,4799.524015151559,7537.179034091008,-690.6094836016184,0,0,0,0
1780908900,29163.25,29184.25,29157.25,29177,1,0,0,0,29244.824802631705,29096.675197368295,29112.45089918046,29212.72176680472,29012.180031556203,40.38320175446985,3163,4254.01601010104,7199.286022727339,-437.1925148009213,0,0,0,0
1780909200,29177.75,29198.25,29176.75,29190,1,0,0,0,29256.801602443727,29118.198397556273,29112.774690819628,29212.95358334582,29012.595798293434,39.03440162915058,3449,3985.6773400673596,6381.024015151559,-194.19196302291044,0,0,0,0
1780909500,29190,29192.5,29147.5,29150.75,0,1,0,0,29251.690773697745,29088.309226302255,29112.98134504444,29213.00858595741,29012.954104131473,39.460515798496964,3301,3757.4515600449063,5978.51601010104,-450.4514969982188,0,0,0,0
1780909800,29150.5,29188.75,29143,29187.5,1,0,0,0,29248.614647005048,29083.135352994952,29113.208202349666,29213.114488824347,29013.301915874985,39.90976467003289,3075,3529.967706696604,5636.177340067359,-151.42494477548257,0,0,0,0
1780910100,29187.5,29204.25,29181.25,29195.75,1,0,0,0,29262.302886504687,29123.197113495313,29113.47965590685,29213.32661604239,29013.63269577131,38.701924336459115,2755,3271.645137797736,5294.951560044907,-47.5547779988799,0,0,0,0
1780910400,29195.25,29223.5,29195.25,29202.5,1,0,0,0,29280.43303746864,29138.31696253136,29113.85272705857,29213.674881583855,29014.030572533284,37.95535831242632,3271,3271.4300918651575,4907.467706696604,23.47162489756579,0,0,1,0
1780910700,29203,29210.5,29189.25,29192.75,0,1,0,0,29265.64317764945,29134.10682235055,29114.093486452246,29213.872557540402,29014.31441536409,36.76211843296729,2369,2970.620061243438,4907.145137797736,-105.25634957298809,0,0,0,1
1780911000,29192.5,29196.5,29171.75,29172.5,0,1,0,0,29250.356164960205,29117.893835039795,29114.313471419977,29213.99929105678,29014.627651783172,35.90410997346963,2746,2895.7467074956253,4455.930091865157,-310.73306892629046,0,0,0,0
