time,open,high,low,close,Shapes,Shapes,Bullish Sweep,Bearish Sweep,ATR Short Stop Loss,ATR Long Stop Loss,VWAP,Upper Band #1,Lower Band #1,ATR,Volume,Volume EMA,Spike Threshold,CVD Oscillator,Bullish Divergence,Bearish Divergence,Bullish Cross,Bearish Cross
1774222200,4485.6,4494.5,4453.3,4466.5,0,1,0,0,4551.451380060925,4396.348619939075,4490.745593510631,4503.820053461361,4477.671133559901,37.96758670728322,17664,14321.859517406003,18976.183914163506,-593.6730498215388,0,0,0,0
1774224000,4466.6,4474.9,4406.4,4429,0,1,0,0,4535.122710056573,4346.177289943426,4472.951460958215,4500.491753767998,4445.411168148432,40.148473371048695,29382,19341.906344937335,21482.789276109004,-1769.6517741287494,0,0,0,0
1774225800,4429.5,4438.8,4321.5,4357.1,0,1,0,0,4507.288945052533,4253.0110549474675,4440.256901154019,4492.487718688819,4388.026083619219,45.65929670168809,42987,27223.604229958222,29012.859517406003,-3694.956011210814,0,0,0,0
1774227600,4356.9,4445,4331.1,4423.5,1,0,0,0,4520.800448977351,4255.299551022649,4431.203995262843,4480.196812001169,4382.211178524517,50.53363265156749,38167,30871.402819972147,40835.406344937335,-643.3595508422686,0,0,0,0
1774229400,4424.1,4455.2,4382.7,4389,0,1,0,0,4533.353988336112,4304.546011663888,4428.414279037758,4474.819317422593,4382.009240652924,52.10265889074124,24427,28723.268546648098,46307.10422995822,-1362.8908194505107,0,0,0,0
1774231200,4389.1,4423.8,4384,4402.2,1,0,0,0,4500.635846312104,4307.164153687896,4426.031734913626,4470.786001986185,4381.277467841067,51.22389754140259,20438,25961.512364432067,43084.90281997215,-194.63426130311154,0,0,0,0
1774233000,4402.2,4403.6,4356,4362.4,0,1,0,0,4480.047571575526,4279.552428424475,4421.540419264242,4466.74630096353,4376.334537564953,50.965047717016716,20326,24083.00824295471,38942.2685466481,-1472.4813485003065,0,0,0,0
1774234800,4362.7,4379.5,4349,4353.9,0,1,0,0,4453.754887891559,4274.745112108441,4417.275876152156,4463.546145016341,4371.0056072879715,49.50325859437266,17781,21982.338828636475,36124.51236443207,-1387.867777836941,0,0,0,0
1774236600,4353.7,4367.1,4337.2,4355.6,1,0,0,0,4439.254538756448,4265.045461243552,4413.787859250382,4461.065705898943,4366.5100126018215,48.10302583763179,14604,19522.892552424317,32973.50824295471,-739.2664822501329,1,0,0,0
1774238400,4355.6,4375,4355.5,4371.7,1,0,0,0,4444.089928845273,4286.410071154727,4412.040156806108,4459.252439226988,4364.827874385228,46.05995256351524,10487,16510.92836828288,29284.338828636475,521.9679935210634,0,0,1,0
1774240200,4371.2,4385,4353,4370.9,0,1,0,0,4452.583505356325,4285.416494643675,4410.133777663407,4457.101906929476,4363.165648397338,45.05567023754986,13102,15374.618912188585,24766.392552424317,720.5361778991819,0,0,0,0
1774242000,4370.6,4383.6,4354.8,4359.5,0,1,0,0,4449.441826402302,4288.958173597699,4408.588595637317,4455.436081503067,4361.741109771567,43.894550934867745,10566,13771.745941459058,23061.92836828288,505.8598460275248,0,0,0,0
1774243800,4359.4,4359.5,4305.5,4314,0,1,0,0,4426.424553087852,4238.575446912148,4401.456501325011,4451.856680596233,4351.05632205379,44.61636872523434,28673,18738.83062763937,20657.618912188587,-1557.4524731868587,0,0,0,1
1774245600,4314,4316.9,4244.1,4249.3,0,1,0,0,4386.84422786729,4174.15577213271,4388.634492350234,4450.376502322352,4326.892482378115,46.629485244860405,35771,24416.220418426245,28108.245941459056,-3951.806724216257,0,0,0,0
1774247400,4248.9,4255.8,4166,4225.1,0,1,0,0,4330.369640162485,4091.430359837516,4367.346392154704,4448.4184335034715,4286.274350805936,49.713093441656106,51421,33417.81361228416,36624.33062763937,-4167.773044507303,0,0,0,0
1774249200,4224.7,4227,4100,4137.5,0,1,0,0,4309.850380150878,4017.149619849122,4339.336335557075,4443.616299606495,4235.056371507654,55.2335867672521,63440,43425.2090748561,50126.72041842624,-7130.576583756365,0,0,0,0
1774251000,4137.5,4234,4130.6,4206,1,0,0,0,4322.011067282958,4042.588932717042,4327.174770189955,4435.125569774696,4219.223970605214,58.674044855305496,42735,43195.1393832374,65137.81361228415,-2735.290143815282,0,0,0,0
1774252800,4206.5,4258.3,4203.8,4228.9,1,0,0,0,4345.8638481913185,4116.236151808682,4321.883756146164,4429.126833634242,4214.6406786580865,58.37589879421224,30287,38892.4262554916,64792.7090748561,-624.9224265671874,0,0,0,0
1774254600,4228.4,4272.6,4219.7,4252.1,1,0,0,0,4359.5771447490815,4132.722855250919,4318.660350239817,4424.611932892192,4212.708767587441,57.984763166054265,25336,34373.617503661066,58338.6393832374,996.8481341037423,0,0,1,0
1774256400,4252.3,4305.7,4247,4305.2,1,0,0,0,4392.753777267004,4159.946222732996,4317.5908078084285,4421.957095486758,4213.224520130099,58.03585151133609,19605,29450.74500244071,51560.4262554916,2906.460488470721,0,0,0,0
1774258200,4305.3,4310.1,4223.9,4254.2,0,1,0,0,4400.171364605076,4133.828635394924,4315.3174261388085,4418.081575695158,4212.553276582459,60.047576403383566,25909,28270.163334960474,44176.117503661066,1336.1098418426677,0,0,0,0
1774260000,4254.6,4275.9,4244,4269.7,1,0,0,0,4362.955552847569,4156.94444715243,4314.162523519576,4416.070870190947,4212.254176848205,58.03703523171328,14168,23569.442223306985,42405.245002440715,2122.2946405314133,0,0,0,0
1774261800,4270,4283.3,4241.7,4270.5,1,0,0,0,4368.594441929887,4156.405558070113,4313.23773434347,4414.3997113532305,4212.07575733371,56.86296128659093,12300,19812.961482204657,35354.16333496048,2131.490498539053,0,0,0,0
1774263600,4270.4,4465.9,4270,4401.5,1,0,0,0,4566.091267506323,4169.808732493677,4318.187224878639,4417.013992262246,4219.360457495033,66.7941783375487,52922,30849.307654803102,29719.442223306985,5442.083728230793,0,0,0,0
1774265400,4402,4434.9,4363.2,4381,0,1,0,0,4535.616891255871,4262.483108744128,4320.493004612237,4418.641406976623,4222.344602247851,67.14459417058092,22396,28031.5384365354,46273.96148220466,4154.4363890654095,0,0,0,0
1774267200,4380,4407.5,4338.5,4392.3,1,0,0,0,4508.415684737595,4237.584315262405,4322.435305747994,4419.524799343933,4225.345812152054,67.27712315839656,24773,26945.358957690267,42047.3076548031,4108.170240147801,0,0,0,0
1774269000,4391.4,4495.6,4375.8,4481.2,1,0,0,0,4602.143135827767,4269.256864172234,4327.716143401854,4426.149442840799,4229.28284396291,71.0287572185111,32236,28708.905971793512,40418.0384365354,5899.597384517549,0,0,0,0
1774270800,4482,4489,4406.7,4412.4,0,1,0,0,4596.750768982926,4298.9492310170735,4332.324636858136,4431.0911266956045,4233.558147020667,71.83384598861747,34838,30751.93731452901,43063.35895769027,2274.1768646892106,0,0,0,0
1774272600,4412.1,4470,4403.7,4457.3,1,0,0,0,4577.157856912717,4296.542143087283,4336.642081700627,4435.831976950891,4237.452186450364,71.43857127514481,33032,31511.958209686007,46127.905971793516,4192.664297600132,0,0,0,0
1774274400,4457.5,4516,4455.3,4489.2,1,0,0,0,4622.007295704666,4349.292704295334,4342.527586742326,4444.028342929122,4241.02683055553,70.67153046977731,34743,32588.972139790672,47267.93731452901,5316.031047685197,0,0,0,0
1774276200,4489.1,4507.4,4459.3,4463.7,0,1,0,0,4610.988917440047,4355.711082559953,4346.168497433737,4448.63147956382,4243.705515303654,69.0592782933646,24711,29962.981426527116,48883.45820968601,3260.3442822635893,0,0,0,0
1774278000,4464.2,4488.9,4428.9,4448.5,0,1,0,0,4591.518280480043,4326.281719519956,4349.13757768296,4451.7483987145815,4246.5267566513385,68.4121869866957,25455,28460.32095101808,44944.472139790676,2162.551363537904,0,0,0,0
